"","FAST_Detected","tvd_detected","bagplot_detected","FAST_Delay","FAST_Delay_sd"
"Model 1",0.05,0.0467326732673267,0.0541584158415842,99.4,101.248703695405
"Model 2",0.05,0.0099009900990099,0.0099009900990099,47.4,77.0441431907708
"Model 3",1,0.07,0.07,2,0
"Model 4",0.75,0.06,0.05,30.8527131782946,28.6801246432011
"Model 5",1,0.97,0.07,2.04,0.281410588272579
"Model 6",0.07,0.96,0.44,40.7142857142857,78.7119522599423
"Model 7",1,0.99,0,2.2,1.4213381090374
"Model 8",0.05,0.03,0.05,48.8,54.8014598345701
"Model 9",0.98,0.58,0.05,10.2142857142857,35.7797529567979
